Release_Date,Title
2003-02-07,How to Lose a Guy in 10 Days
1987-09-25,The Princess Bride
2009-10-27,Curious George 2 Follow That Monkey!
2018-03-08,Hostile
2008-10-15,Max Payne
2017-02-03,Don't Knock Twice
2011-09-11,Extraterrestrial
2018-04-19,Bad Samaritan
1991-05-24,Thelma & Louise
2019-02-06,The Prodigy
1990-12-14,Captain America
2000-06-28,Baise-moi
2006-03-31,Slither
2018-09-04,UFO
2018-06-27,The Witch Part 1 The Subversion
1990-01-18,The Rookie
2021-02-26,The Girl on the Train
2018-01-26,Early Man
2000-10-22,Bruce Lee A Warrior's Journey
2006-06-16,The Lake House
1994-09-17,Only You
2017-02-15,Handsome Devil
2020-01-09,My Spy
2018-10-10,Draug
1977-04-01,Crime Busters
2005-08-26,The Cave
1969-12-01,The Sicilian Clan
2017-08-25,Paradox
2018-01-19,La leyenda del Charro Negro
2012-09-06,Anna Karenina
2005-02-19,Wild Things Diamonds in the Rough
2020-01-23,Pacto de Fuga
1990-08-03,DuckTales The Movie - Treasure of the Lost Lamp
2004-01-20,Barbershop 2 Back in Business
2006-07-15,Pokémon Ranger and the Temple of the Sea
1996-03-29,Stealing Beauty
2009-10-22,Dogtooth
2001-07-02,Final Fantasy The Spirits Within
2018-06-07,Hotel Artemis
2016-06-10,Collide
2009-12-23,Woochi  The Demon Slayer
2003-01-31,Biker Boyz
1985-10-10,Silver Bullet
2018-11-06,Widows
1969-01-01,The Curious Dr Humpp
2006-09-09,Wedding Daze
2006-12-09,Smokin' Aces
1996-02-09,Broken Arrow
2007-04-12,Disturbia
1931-02-12,Dracula
2015-09-04,Black Mass
2012-08-30,The Possession
2006-03-03,Ultraviolet
1977-06-25,The Call of Sex
2006-08-21,Tom and Jerry Shiver Me Whiskers
2017-08-06,Mary Shelley
2006-12-01,Van Wilder 2 The Rise of Taj
2005-09-22,Flightplan
1966-10-19,Return of the Seven
2010-07-16,Bereavement
2015-02-27,A la mala
1975-03-11,That Malicious Age
1975-05-25,Monty Python and the Holy Grail
2018-05-12,All the Devil's Men
2019-06-07,Children of the Sea
1991-08-23,The Death of the Incredible Hulk
2006-06-06,The Omen
1993-05-05,Ocean Waves
1999-01-30,Jawbreaker
2006-04-07,The Benchwarmers
2021-07-02,"Summer of Soul (Or
2018-09-14,White Boy Rick
2000-01-22,Ringu 0
1948-01-15,The Treasure of the Sierra Madre
2013-09-20,The Art of the Steal
2002-06-10,Wishmaster 4 The Prophecy Fulfilled
2007-11-27,Futurama Bender's Big Score
2005-06-07,Hellraiser Deader
2013-05-01,Belle
1981-04-10,Excalibur
2007-04-05,Sunshine
2019-08-30,Don't Let Go
2017-09-28,Flatliners
2017-07-22,Magical Girl Lyrical Nanoha Reflection
2018-04-05,Cats
2001-09-07,Knockaround Guys
1983-04-15,Woman with Pierced Nipples
1996-11-22,Star Trek First Contact
2014-04-16,Transcendence
2016-08-26,Kids in Love
2012-06-22,Seeking a Friend for the End of the World
2019-11-01,Arctic Dogs
2006-12-15,Black Christmas
2022-10-13,Halloween Ends
1971-11-13,Duel
2020-10-14,BLACKPINK Light Up the Sky
2018-08-25,Non Non Biyori Vacation
1985-08-01,The Jewel of the Nile
2019-08-15,Monos
2003-01-01,Saw
2000-09-14,Rugrats in Paris The Movie
1997-05-29,An American Werewolf in Paris
2003-09-20,Under the Tuscan Sun
2021-01-14,The Dig
2011-02-04,The Roommate
2020-03-11,Radioactive
2004-01-21,DEBS
2017-07-11,The Humanity Bureau
1988-07-15,A Fish Called Wanda
2019-03-15,The Highwaymen
1950-10-06,All About Eve
2017-08-11,Do It Like An Hombre
1951-02-05,El Siete Machos
1980-09-01,Flash Gordon
2018-06-15,Set It Up
2018-04-19,Super Troopers 2
2016-12-12,Lady Macbeth
2022-01-17,Heatwave
2019-11-04,The Aeronauts
2016-02-25,They Call Me Jeeg
1988-04-29,Critters 2
2020-08-27,Bill & Ted Face the Music
2014-01-16,Wild
1968-04-24,"Yours
1977-10-14,Emmanuelle 3
1980-01-31,The Final Countdown
1993-03-17,Teenage Mutant Ninja Turtles III
1979-05-25,Stalker
2013-12-25,The 100 Year-Old Man Who Climbed Out the Window and Disappeared
1993-11-05,Look Who's Talking Now!
1995-03-24,Major Payne
2021-01-29,Five Nights at Freddy's Home Breach
2019-05-24,Booksmart
2016-01-04,Standoff
1956-08-21,War and Peace
2010-11-24,Firebreather
1986-12-19,Little Shop of Horrors
2008-10-10,Straight from the Barrio
2014-08-22,The Prince
1993-02-26,Falling Down
1971-10-21,Trinity Is Still My Name
1983-06-17,Superman III
2021-02-05,The Last Paradiso
1996-04-19,The Quest
2009-09-16,Solomon Kane
2019-12-25,Line of Duty
2002-01-18,Snow Dogs
1996-03-01,Down Periscope
1996-04-09,Tremors 2 Aftershocks
2005-04-06,Sahara
2018-10-05,The Night Comes for Us
2016-07-01,Marauders
1993-08-27,Needful Things
2005-07-13,Wedding Crashers
2015-10-05,The Great Gilly Hopkins
2010-11-24,The Nutcracker The Untold Story
2017-04-07,Orbiter 9
1968-09-04,Theorem
1960-05-25,The Time Machine
1996-06-21,Eraser
1988-09-30,"Elvira
2020-06-04,The Candy Witch
2020-09-30,American Murder The Family Next Door
2000-10-17,Shriek If You Know What I Did Last Friday the Thirteenth
2015-11-20,The Night Before
2012-12-25,Parental Guidance
2011-12-26,The Iron Lady
2013-09-08,Oculus
2022-03-10,Radhe Shyam
2018-09-03,Dragged Across Concrete
1998-02-06,The Replacement Killers
1971-12-23,Straw Dogs
2007-09-21,Sydney White
2005-05-11,The Myth
2002-12-13,Maid in Manhattan
2020-06-15,Sniper Assassin's End
1986-02-07,Los verduleros
1992-03-05,The Lawnmower Man
2019-12-24,Out Of The Clear Blue Sky
2017-03-02,Commando 2 -  The Black Money Trail
2014-09-26,Bad Country
2009-06-12,The Hills Run Red
1978-07-27,Animal House
1990-10-17,Quigley Down Under
2009-09-03,Gamer
2016-06-24,Swiss Army Man
1977-07-22,Orca
2001-07-11,Trouble Every Day
2020-10-19,Fatman
2010-04-09,The Extraordinary Adventures of Adèle Blanc-Sec
2017-11-17,Godzilla Planet of the Monsters
2003-04-18,Basic
2010-03-18,Repo Men
2013-08-04,Tom and Jerry's Giant Adventure
2002-09-26,Sweet Home Alabama
2000-08-08,DragonHeart A New Beginning
1957-02-16,The Seventh Seal
2011-04-06,Scream The Inside Story
2018-10-19,Can You Ever Forgive Me?
2005-01-18,Tom and Jerry Blast Off to Mars!
2010-10-08,It's Kind of a Funny Story
2002-08-30,The Magdalene Sisters
2011-06-10,Sleeping Beauty
2021-08-11,Hotsunlight
1996-03-06,Primal Fear
1992-01-22,The Lover
2009-04-04,My Girlfriend Is an Agent
2020-02-29,Maggie Simpson in Playdate with Destiny
2020-11-20,Aztech
1985-10-15,Miranda
1987-09-11,Fatal Attraction
2004-11-10,Bridget Jones The Edge of Reason
1976-07-14,The Outlaw Josey Wales
2019-09-17,Peter's To-Do List
2016-12-28,20th Century Women
2017-07-01,Revolt
1985-04-09,Red Sonja
2019-08-29,Running with the Devil
2020-06-09,40 Years of Rocky The Birth of a Classic
1991-05-24,Backdraft
1938-05-13,The Adventures of Robin Hood
1988-04-08,Above the Law
2012-02-03,Berserk The Golden Age Arc I - The Egg of the King
2003-03-04,Scooby-Doo! and the Legend of the Vampire
2006-03-01,16 Blocks
2014-05-08,Chef
2021-06-03,Juan Luis Guerra 440 Entre Mar y Palmeras
2004-07-17,Steamboy
2014-12-24,Big Eyes
2019-03-27,Queen of Hearts
2017-06-08,My Cousin Rachel
2006-01-27,Alpha Dog
2020-12-18,Sky High
2018-11-16,Crazy About Work
2014-03-14,Under the Skin
1988-11-17,Cinema Paradiso
1987-07-24,La Bamba
2008-01-17,Mad Money
2005-12-21,Fun with Dick and Jane
1983-07-07,Winners & Sinners
1993-12-10,Wayne's World 2
2002-06-28,Mr Deeds
2010-08-26,Takers
2008-07-08,Meet Dave
2008-08-06,Pineapple Express
2009-04-07,Scooby-Doo! and the Samurai Sword
2016-08-12,Amateur Night
1979-12-19,Kramer vs Kramer
2018-07-12,The Mermaid Lake of the Dead
2016-09-06,Mostly Ghostly 3 One Night in Doom House
2003-12-29,Tokyo Godfathers
1978-12-19,Invasion of the Body Snatchers
2012-07-03,Mac & Devin Go to High School
1996-04-19,The Substitute
2017-12-25,The 12th Man
1958-04-03,"The Long
2019-10-15,The Viking War
2016-07-01,Bounty Hunters
2017-07-20,Amityville The Awakening
2018-12-25,Vice
2006-09-15,Gridiron Gang
2016-08-09,Scooby-Doo! and WWE Curse of the Speed Demon
2011-10-06,The 33D Invader
2013-11-08,The Book Thief
1986-03-14,Crossroads
2016-11-23,Dear Zindagi
1991-01-18,White Fang
1994-11-11,The Santa Clause
1962-10-01,How the West Was Won
2000-08-11,The Replacements
2017-07-26,The Jungle Bunch
1985-06-21,Cocoon
2019-01-12,Fate/stay night Heaven's Feel II Lost Butterfly
2016-01-22,Exposed
1961-05-01,The Curse of the Werewolf
2021-10-21,The Electrical Life of Louis Wain
1999-03-06,Digimon Adventure
1994-10-13,From Beijing with Love
2007-09-14,Eastern Promises
2017-10-06,The Florida Project
1957-12-26,Wild Strawberries
2018-05-21,The Jurassic Games
1966-12-08,La Grande Vadrouille
2008-12-30,A Frozen Flower
2020-08-07,Work It
2004-10-21,Chestnut Hero of Central Park
1985-12-18,The Color Purple
2021-01-14,Music
2016-05-15,The Nice Guys
2012-06-13,Rock of Ages
2001-12-10,Ali
1998-09-25,Ronin
2019-04-03,Astro Kid
2017-03-24,Red Nose Day Actually
2017-06-28,Faces Places
1997-12-12,Brother
2003-08-18,George of the Jungle 2
2020-01-25,Timmy Failure Mistakes Were Made
2021-08-12,Monster Hunter Legends of the Guild
2000-06-29,The Perfect Storm
2011-12-06,Lemonade Mouth
2017-03-16,Vengeance A Love Story
2020-05-08,The Legion
2016-10-14,Priceless
2015-01-23,Strange Magic
2006-03-24,Stay Alive
2002-01-25,Kung Pow Enter the Fist
2009-12-10,Invictus
2004-03-05,Starsky & Hutch
2016-01-14,Norm of the North
1983-10-19,Mickey's Christmas Carol
2018-11-29,An Ordinary Man
2015-03-02,Monster High Haunted
2018-02-02,The 1517 to Paris
2020-10-02,Possessor Uncut
2002-06-14,Windtalkers
2006-11-22,Tenacious D in The Pick of Destiny
2020-07-03,Hamilton
2016-09-02,White Girl
1999-06-25,Big Daddy
2008-07-19,Starship Troopers 3 Marauder
2018-11-06,The Front Runner
2012-06-29,Madea's Witness Protection
2020-03-06,First Cow
1945-03-01,The Picture of Dorian Gray
2006-08-11,Zoom
2019-09-13,Haunt
1987-03-06,Angel Heart
2016-11-30,Rocco
2018-05-09,Luis and the Aliens
2005-11-04,My Brother's Wife
2020-01-31,The Rhythm Section
2015-10-09,The Exorcism of Molly Hartley
2012-02-14,About Cherry
2014-02-18,Pompeii
2012-06-12,Superman vs The Elite
2004-04-20,Starship Troopers 2 Hero of the Federation
1980-02-09,The Young Master
1986-09-24,The Name of the Rose
1985-02-20,Brazil
2021-11-19,Love Me Instead
2020-01-11,Spycies
2008-03-04,Pistol Whipped
2021-07-25,The Legacy of Chucky
1993-01-01,Once Upon a Time in China III
2012-10-12,Grave Encounters 2
1997-01-15,Lost Highway
2008-08-22,The House Bunny
2019-12-19,Ip Man 4 The Finale
2020-04-23,Toxic
1944-01-28,Lifeboat
1990-07-27,Problem Child
1986-01-17,The Hitcher
2013-04-18,Adult World
1992-12-02,Damage
1985-10-04,Demons
2015-09-11,12 Rounds 3 Lockdown
2013-06-06,Zombie Massacre
1991-07-19,Omen IV The Awakening
1964-10-21,My Fair Lady
2009-08-11,Road Trip Beer Pong
2006-07-27,Mater and the Ghostlight
1998-11-07,Sex and Zen III
1988-12-11,Rain Man
2021-12-02,The Pilot A Battle for Survival
2019-03-28,Hacker
1994-05-24,Beverly Hills Cop III
1973-12-13,Papillon
2019-01-10,The Upside
2001-03-23,Heartbreakers
2009-10-01,The Imaginarium of Doctor Parnassus
1991-06-07,City Slickers
2013-03-13,Crush
2016-06-08,The Neon Demon
2010-04-15,Death at a Funeral
2006-11-30,The Nativity Story
1994-10-07,The Specialist
2005-02-01,Imagine Me & You
2016-03-03,A Conspiracy of Faith
2006-04-05,Asterix and the Vikings
1994-07-28,The Bodyguard from Beijing
2016-11-11,Raw
2021-11-05,We Couldn't Become Adults
2013-04-18,The Numbers Station
2012-06-09,Radio Rebel
2018-12-12,"Remi
2001-08-17,Rat Race
2014-10-08,"Alexander and the Terrible
2018-06-18,Real Girl
1983-04-15,Lone Wolf McQuade
1979-10-27,Star of David Beauty Hunting
2020-03-14,They Reach
1973-11-16,Three Wishes for Cinderella
2009-05-19,Mega Shark vs Giant Octopus
2022-03-10,A Ballad of Saints and Sinners
2020-03-13,Minamata
2020-06-26,Capone
2014-08-28,Wolves
1984-08-17,Sheena
1996-09-13,Maximum Risk
2009-01-01,Cristiano de la Secreta
2001-01-22,Vanilla Sky
2006-08-06,Snakes on a Plane
2018-10-06,No Escape Room
2008-02-14,The Chaser
2018-09-27,Hell Fest
2012-04-27,The Five-Year Engagement
1992-05-28,Sister Act
2018-09-27,I Still See You
1977-12-16,Saturday Night Fever
1960-07-18,13 Ghosts
2001-09-28,Zoolander
2007-10-12,Lars and the Real Girl
2020-02-19,The Night Clerk
2019-05-24,Young Sister-in-law 3
2018-08-29,Kin
2003-03-28,The Core
2019-09-20,In the Tall Grass
2017-10-28,Harry Potter A History Of Magic
1993-02-03,Homeward Bound The Incredible Journey
2021-09-16,Je suis Karl
2014-03-21,Finding Vivian Maier
2004-06-10,The Stepford Wives
1992-08-13,Braindead
2021-09-16,Chilangolandia
2001-11-19,The Matrix Revisited
2014-08-22,The Possession of Michael King
2018-05-25,Ibiza
2012-02-09,Safe House
2021-11-05,Love Hard
2019-08-30,The Informer
2008-09-26,Passengers
2005-10-26,Match Point
2009-09-09,Dorian Gray
2019-04-23,I Spit on Your Grave Déjà Vu
2000-01-12,Next Friday
2015-07-03,Little Witch Academia The Enchanted Parade
2014-08-14,Jarhead 2 Field of Fire
2000-07-21,What Lies Beneath
1982-12-07,48 Hrs
2009-04-02,Blood The Last Vampire
2018-02-27,Primal Rage
1986-05-09,Short Circuit
2016-09-30,The Midnight Man
2014-11-15,Expelled from Paradise
2005-05-20,Dominion Prequel to The Exorcist
1977-02-01,Suspiria
2008-04-24,Deception
2005-06-02,Cinderella Man
2020-08-20,Rogue
2003-12-12,Infernal Affairs III
2004-08-20,Exorcist The Beginning
2002-10-01,The Crime of Padre Amaro
2015-12-25,Palm Trees in the Snow
1999-12-17,Fantasia 2000
2005-09-11,Revolver
2016-03-01,Weaponized
2013-10-02,Hope
2018-03-09,Tomb Invader
2011-09-16,Tinker Tailor Soldier Spy
1975-08-14,The Rocky Horror Picture Show
2001-11-18,Spy Game
2020-09-11,The Stranger by the Shore
2022-02-24,Studio 666
1972-04-12,Fritz the Cat
2021-08-27,Edge of the World
2022-03-10,The Girl From the Other Side
2019-08-28,Travis Scott Look Mom I Can Fly
2003-05-23,The Ghost of Lord Farquaad
2000-10-03,Scooby-Doo and the Alien Invaders
1970-01-01,Kelly's Heroes
1991-11-27,My Girl
2006-06-01,The Break-Up
2019-01-24,The Final Wish
2012-09-27,Upside Down
2018-05-10,Terminal
2014-02-12,Dead Snow 2 Red vs Dead
2019-10-30,Into the Labyrinth
2020-07-08,The Secret Garden
2005-11-18,SPL Kill Zone
2000-12-12,The Family Man
1997-08-15,Cop Land
1995-08-04,Bushwhacked
2020-12-24,The Yin-Yang Master Dream of Eternity
2016-04-29,The Trust
2013-12-31,Force of Execution
2013-11-29,Ghost in the Shell Arise - Border 2 Ghost Whispers
1991-07-03,Problem Child 2
1983-12-07,Sudden Impact
2016-02-03,Gold
1958-06-11,The Vikings
2004-12-10,The Life Aquatic with Steve Zissou
1997-08-05,Pooh's Grand Adventure The Search for Christopher Robin
2020-09-13,The Water Man
2015-05-29,Aloha
2017-10-12,The Snowman
2012-02-03,The Woman in Black
2021-08-31,Untold Crimes & Penalties
2001-05-24,Moulin Rouge!
2016-03-12,Brimstone
2018-09-20,Golden Job
1987-11-20,Teen Wolf Too
1999-05-26,Ms Kristina Moran Ang Babaeng Palaban
2018-11-14,Alien Overlords
2012-10-11,Here Comes the Boom
1984-11-16,Missing in Action
2009-10-17,The Men Who Stare at Goats
1973-05-15,The Day of the Jackal
2021-07-23,Joe Bell
1992-06-03,Twin Peaks Fire Walk with Me
2010-02-05,The Disappearance of Haruhi Suzumiya
2010-03-16,The Bounty Hunter
2000-09-28,Billy Elliot
2007-10-05,The Heartbreak Kid
2002-05-24,Insomnia
1998-09-11,Rounders
2018-03-02,Benji
2001-10-22,K-PAX
2014-10-09,Trash
2004-02-18,Crimson Rivers II Angels of the Apocalypse
2001-04-06,Along Came a Spider
2006-11-02,Superman II The Richard Donner Cut
2019-03-22,Pain and Glory
2013-06-29,Puppylove
2011-08-23,Tom and Jerry & The Wizard of Oz
2015-01-09,The Scorpion King 4 Quest for Power
1976-04-04,All the President's Men
2012-03-30,StreetDance 2
2012-10-12,Seven Psychopaths
2006-07-29,Tales from Earthsea
1987-02-07,Law of Desire
2018-10-02,Prospect
2004-12-17,Flight of the Phoenix
2018-05-25,Downrange
2013-08-29,One Direction This Is Us
2019-08-30,The Fanatic
2004-11-24,Christmas with the Kranks
1998-02-11,Batman & Mr Freeze SubZero
2011-06-16,Quarantine 2 Terminal
1999-12-31,The Virgin Suicides
2015-05-12,Batman Unlimited Animal Instincts
2014-10-17,Extraterrestrial
1999-04-16,All About My Mother
2015-04-25,Beyond the Boundary I'll Be Here – Future
2009-12-04,Armored
2021-09-09,The Women and the Murderer
2020-09-29,Welcome to Sudden Death
2013-10-09,Blue Is the Warmest Color
1989-08-11,A Nightmare on Elm Street The Dream Child
2022-02-08,Miss Willoughby and the Haunted Bookshop
1973-06-15,Battle for the Planet of the Apes
1946-10-29,Beauty and the Beast
2015-12-10,Heidi
1981-04-02,Christiane F
2013-10-08,Beneath
2014-08-21,Wild Tales
2018-10-25,The Girl in the Spider's Web
1976-03-02,Salon Kitty
1998-02-26,You've Got Mail
2014-10-06,Monster High Freaky Fusion
1993-01-01,Farewell My Concubine
1973-12-25,The Sting
1980-10-02,The Elephant Man
1962-09-25,The Longest Day
1991-12-27,Fried Green Tomatoes
1992-10-09,A River Runs Through It
2018-05-09,Sorry Angel
1993-07-23,Coneheads
2007-04-05,The Reaping
2003-11-14,Master and Commander The Far Side of the World
2015-02-27,After the Ball
2017-12-27,1987 When the Day Comes
1999-04-16,The Thirteenth Floor
2008-05-11,Never Cry Werewolf
1999-07-17,My Neighbors the Yamadas
2001-11-17,Frailty
2015-10-23,Bone Tomahawk
2008-06-20,Camp Rock
2014-02-04,Marvel One-Shot All Hail the King
2000-11-17,The 6th Day
2014-10-16,The Town that Dreaded Sundown
2012-09-13,Marvel One-Shot Item 47
2022-02-19,The Wedding Veil Legacy
2000-07-27,Nutty Professor II The Klumps
2021-10-01,Old Henry
2017-04-27,Unlocked
1965-12-08,Fantomas Unleashed
2019-04-04,Little
2014-08-09,The Captive
2019-06-10,Playmobil The Movie
2017-06-02,The Recall
2015-04-30,Barely Lethal
2015-11-12,Love the Coopers
2010-09-17,Alpha and Omega
1987-07-31,The Lost Boys
2021-09-03,Misha and the Wolves
2012-08-31,Cockneys vs Zombies
2018-03-07,The Stolen Princess
2016-10-22,Don't Hang Up
2005-07-27,Stealth
2012-03-22,Argo
1984-12-06,2010
2013-04-24,Iron Man Rise of Technovore
2015-11-13,Harmony
1986-12-17,Allan Quatermain and the Lost City of Gold
1997-04-10,Jackie Brown
2014-03-25,"Monster High Frights
1941-10-18,The Maltese Falcon
1998-03-03,Run Lola Run
2021-04-22,This Little Love of Mine
2017-07-27,Sleeping Beauties
1989-10-05,The Punisher
1993-12-12,In the Name of the Father
2020-03-12,Misbehaviour
2002-08-31,Ken Park
2015-07-06,Love
1999-07-30,Runaway Bride
2006-07-27,Miami Vice
2019-01-04,Rust Creek
2015-11-20,Criminal Activities
2013-12-12,Fir Crazy
2007-08-03,Bratz
1984-11-25,The Ewok Adventure
2016-01-08,Lamb
2000-03-22,Romeo Must Die
1927-02-06,Metropolis
2019-02-08,Drunk Parents
2008-04-02,The Ruins
2003-01-09,Just Married
2018-09-07,Next Gen
2014-04-18,13 Sins
2016-12-16,The Lighthouse of the Orcas
2013-12-24,Police Story Lockdown
1997-09-09,Cube
1999-02-26,8MM
2007-06-01,Mr Brooks
2015-12-03,My Friend's Wife
1988-02-05,The Unbearable Lightness of Being
2019-11-15,Waves
1984-07-21,Macross Do You Remember Love?
2012-08-10,Grabbers
2005-01-17,Chaos
2017-09-10,Berlin Drifters
2013-10-26,Puella Magi Madoka Magica the Movie Part III Rebellion
2018-05-25,After the Rain
2016-09-30,Denial
2011-03-04,Perras
2009-04-28,S Darko
2000-10-31,The Crow Salvation
1984-03-30,Romancing the Stone
2019-02-01,Velvet Buzzsaw
1956-12-01,Sissi The Young Empress
1995-10-20,Get Shorty
2004-09-24,The Forgotten
2002-11-08,Love Hurts
2016-09-25,Certain Women
2001-03-13,Exit Wounds
2012-10-09,Monster High Ghouls Rule
1973-04-19,High Plains Drifter
2006-03-09,The Shaggy Dog
1997-09-12,The Game
2015-10-02,Burnt
1989-11-17,All Dogs Go to Heaven
2015-05-06,Careful What You Wish For
2021-06-16,Pray Away
2015-03-07,Doraemon Nobita and the Space Heroes
1987-06-05,Harry and the Hendersons
2017-02-04,Lupin the Third Goemon's Blood Spray
2006-10-04,Shortbus
2003-09-16,Evil
1998-01-30,Ringu
2020-02-22,Time to Hunt
2007-09-03,Hotel Chevalier
2015-09-29,Swat Unit 887
1963-11-07,"It's a Mad
2014-03-20,Muppets Most Wanted
1998-12-04,Psycho
2003-12-24,Cold Mountain
2021-07-11,Jackass Shark Week
2009-03-27,The Haunting in Connecticut
1984-05-11,Firestarter
2013-10-21,Green Street Hooligans Underground
2022-03-10,Iblis Dalam Kandungan
2013-01-31,Bullet to the Head
1999-10-31,Mickey's Once Upon a Christmas
2020-08-21,Words on Bathroom Walls
1990-12-04,Awakenings
2007-11-21,August Rush
1949-08-31,The Third Man
2017-11-14,Batman vs Two-Face
2019-10-31,Motherless Brooklyn
2002-07-12,Reign of Fire
1987-07-01,Adventures in Babysitting
2017-09-29,Zombies
2008-07-17,Felon
2016-03-25,The Whole Truth
1977-05-17,Playing with Love
2010-06-08,Mortal Kombat Rebirth
2000-02-03,The Beach
2000-09-15,Almost Famous
2020-10-09,Clouds
2014-08-19,Scooby-Doo! Frankencreepy
1991-02-01,My Own Private Idaho
1991-02-14,Nothing but Trouble
2021-04-28,Get the Grift
2020-11-19,Dance of the Forty One
2018-05-04,Tully
2011-07-22,Another Earth
1931-11-21,Frankenstein
2003-05-19,Dogville
1989-02-10,The Fly II
2014-05-26,Petals on the Wind
2002-10-01,Boat Trip
2001-03-17,Visitor Q
2012-08-31,Fire with Fire
2016-08-19,Boy Missing
1992-10-09,1492 Conquest of Paradise
2010-05-18,Of Gods and Men
2018-08-18,The Seven Deadly Sins Prisoners of the Sky
1988-08-05,The Blob
2019-05-24,Assimilate
2001-01-20,Intimacy
2009-01-27,Hulk vs Wolverine
2004-03-17,The Chorus
1925-12-24,Battleship Potemkin
2007-12-27,The Great Debaters
2005-07-29,The Skeleton Key
1998-10-01,A Night at the Roxbury
2018-09-19,Climax
1988-09-10,Paperhouse
1980-02-08,The Fog
2004-08-06,Open Water
2007-09-07,The Assassination of Jesse James by the Coward Robert Ford
2007-04-11,Perfect Stranger
2014-02-01,The Hungover Games
2011-07-20,Apollo 18
2022-03-03,Whindersson Nunes É de Mim Mesmo
2022-03-11,Ash & Dust
2003-02-21,The Life of David Gale
1980-11-14,Raging Bull
2005-10-26,How Much Do You Love Me?
2018-10-26,Air Strike
2019-06-14,Shaft
2020-01-23,The Turning
1953-09-16,The Robe
2002-10-31,The Santa Clause 2
1995-05-31,La Haine
2013-12-03,Iron Man & Hulk Heroes United
2016-02-29,Mr Right
1976-06-23,Logan's Run
2014-03-18,Marvel Studios Assembling a Universe
1983-03-25,Fire and Ice
2020-06-19,Disclosure
2014-12-25,The Gambler
2006-05-19,See No Evil
2018-03-08,Gringo
2013-06-06,V/H/S/2
2015-07-03,Cartel Land
2015-06-04,Obsession
2014-07-12,K Missing Kings
1964-12-29,Kwaidan
2010-12-22,True Grit
2010-10-21,Open Season 3
2019-11-07,The Personal History of David Copperfield
2017-10-20,Cold Skin
2014-10-18,Finders Keepers
1987-05-01,Creepshow 2
2016-12-22,Sexology
2012-12-15,Scooby-Doo! Mask of the Blue Falcon
2017-12-08,Pyewacket
2016-12-25,Live by Night
2009-04-11,Crows Zero II
2016-09-09,The Disappointments Room
2017-11-02,Gnome Alone
2017-02-10,Kiss and Cry
2015-03-26,Get Hard
2020-10-09,Percy
2014-05-22,Mommy
1935-04-20,The Bride of Frankenstein
2012-06-16,Piranhaconda
2014-06-19,What We Do in the Shadows
2013-01-24,Spring Breakers
2017-10-02,Blue My Mind
1984-10-09,A Christmas Carol
2015-10-06,The Ouija Exorcism
2008-12-03,A Matter of Loaf and Death
2018-12-14,The Girl Next Door 2
1992-04-16,Hard Boiled
2002-12-19,25th Hour
1987-12-18,*batteries not included
2010-07-23,Sin tetas no hay paraíso
2009-01-16,Notorious
2011-09-13,Marvel One-Shot The Consultant
2007-10-11,X-Cross
1989-08-04,Lock Up
2017-01-28,Antiporno
2015-09-16,Forsaken
2014-09-07,Cake
1986-01-01,Blue Velvet
2021-06-01,Potter's Ground
1998-04-28,The Idiots
1966-12-20,The Sand Pebbles
2012-04-21,A Letter to Momo
2017-11-17,A Christmas Prince
1973-12-23,Magnum Force
2014-05-27,Tapped Out
2012-11-11,The Snitch Cartel
2009-05-17,Middle Men
1936-05-11,Dracula's Daughter
2014-07-26,Phineas and Ferb Star Wars
2006-09-28,The Guardian
1971-07-14,Dirty Harry
2022-02-25,Big Gold Brick
2005-07-14,Stuart Little 3 Call of the Wild
2011-11-04,A Very Harold & Kumar Christmas
2011-12-02,The Smurfs A Christmas Carol
1990-02-16,Revenge
2010-10-28,Scared Shrekless
2002-02-08,Big Fat Liar
2015-11-06,Spotlight
2004-01-30,Ginger Snaps 2 Unleashed
2015-08-25,LEGO DC Comics Super Heroes Justice League - Attack of the Legion of Doom!
2019-06-13,Hollow Point
2006-02-28,Just My Luck
2018-03-09,Thoroughbreds
1997-04-25,Volcano
2013-03-14,The Place Beyond the Pines
1991-08-15,Once Upon a Time in China
2018-05-17,Burning
2013-07-27,Porno
2009-12-19,Naruto The Cross Roads
2016-05-17,Cyborg X
1960-01-11,Eyes Without a Face
2007-04-25,Next
2003-06-18,High Tension
2017-12-07,Bullet Head
2013-09-28,The Garden of Sinners Future Gospel
2009-05-28,2022 Tsunami
2004-03-17,Spartacus
2019-03-07,The Professor and the Madman
2006-04-19,The Sentinel
2010-03-26,Greenberg
2016-11-04,Loving
2017-03-16,Female Fight Squad
2018-09-27,Paskal
1985-08-09,Amazonia The Catherine Miles Story
1994-06-09,Police Academy Mission to Moscow
1999-01-22,The Boondock Saints
2002-07-03,The Powerpuff Girls Movie
2014-01-18,Flowers in the Attic
1971-06-23,Klute
2011-01-20,Shaolin
2020-12-04,Captain Underpants Mega Blissmas
1995-07-28,The Net
1995-01-27,Before Sunrise
2004-07-12,The Librarian Quest for the Spear
2016-01-08,Diablo
2012-08-24,Premium Rush
2016-12-02,The Promise
2011-08-19,Flypaper
1987-05-18,Beverly Hills Cop II
2013-09-07,Begin Again
1985-12-14,Beautiful Teacher in Torture Hell
